City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,bantogon,6.5333,124.0333,301.17,74,100,2.19,PH,1727232252
84,tiksi,71.6872,128.8694,273.21,98,100,8.18,RU,1727232252
85,pontes e lacerda,-15.2261,-59.3353,301.19,27,1,1.06,BR,1727232252
86,tazovsky,67.4667,78.7,275.6,95,100,5.91,RU,1727232252
87,qaryat suluq,31.6682,20.2521,296.85,83,2,2.3,LY,1727232252
88,tonnerre,47.8563,3.9737,285.28,94,88,4.92,FR,1727232253
89,khandyga,62.6667,135.6,280.05,59,91,1.72,RU,1727232253
90,chonchi,-42.6128,-73.8092,275.99,90,7,1.2,CL,1727232253
91,arkhangel'sk,64.5401,40.5433,282.21,81,40,3.0,RU,1727232253
92,ola,59.5833,151.2833,280.69,43,2,3.99,RU,1727232253
93,vila franca do campo,37.7167,-25.4333,296.38,87,68,7.21,PT,1727232253
94,kuanda,56.3161,116.0806,288.46,44,12,3.23,RU,1727232253
95,lorengau,-2.0226,147.2712,301.94,76,100,4.08,PG,1727232253
96,mvurwi,-17.0333,30.85,284.76,64,0,1.37,ZW,1727232253
97,fale old settlement,-9.3852,-171.2468,301.5,78,97,4.9,TK,1727232254
98,kodiak,57.79,-152.4072,282.88,57,100,3.09,US,1727232254
99,port saint john's,-31.6229,29.5448,292.39,87,38,2.89,ZA,1727232254
100,ouezzane,34.7971,-5.5822,287.49,87,69,0.51,MA,1727232254
101,edinburgh of the seven seas,-37.0676,-12.3116,285.7,79,8,5.27,SH,1727232254
102,baruun-urt,46.6806,113.2792,287.55,52,2,4.19,MN,1727232254
103,atafu village,-8.5421,-172.5159,301.52,77,93,4.7,TK,1727232255
104,keflavik,64.0049,-22.5624,276.39,75,40,9.26,IS,1727232255
105,chokwe,-24.5333,32.9833,292.3,63,0,3.9,MZ,1727232255
106,punta arenas,-53.15,-70.9167,275.21,75,40,10.29,CL,1727232255
107,westport,41.1415,-73.3579,290.38,78,99,3.13,US,1727232109
108,kingston,17.997,-76.7936,302.68,79,40,5.66,JM,1727232019
109,byron bay,-28.65,153.6167,297.78,49,47,7.9,AU,1727232255
110,jalqani,12.4486,34.2186,297.44,75,99,2.64,SD,1727232255
111,igarka,67.4667,86.5833,274.81,97,100,6.46,RU,1727232160
112,castillos,-34.1667,-53.8333,286.94,98,100,3.84,UY,1727232256
113,sabang,5.8933,95.3214,301.01,79,80,3.16,ID,1727232256
114,tokar,18.4254,37.729,300.53,72,4,1.82,SD,1727232256
115,sola,-13.8833,167.55,299.1,79,23,8.28,VU,1727232256
116,tura,25.5198,90.2201,296.79,99,100,1.67,IN,1727232256
117,vytegra,61.0064,36.4481,282.85,70,100,4.45,RU,1727232256
118,uturoa,-16.7333,-151.4333,299.96,74,28,3.84,PF,1727232256
119,kiama,-34.6833,150.8667,298.92,52,100,4.02,AU,1727232257
120,taro,-8.3862,115.28,303.51,47,41,2.02,ID,1727232257
121,chegdomyn,51.1167,133.0167,284.18,91,100,1.66,RU,1727232257
122,fortuna,40.5982,-124.1573,285.36,100,100,2.57,US,1727232011
123,minas de marcona,-15.2119,-75.1103,284.12,86,48,4.93,PE,1727232257
124,mugia,43.1041,-9.2179,291.99,96,100,9.52,ES,1727232257
125,longyearbyen,78.2186,15.6401,268.06,68,20,1.54,SJ,1727232257
126,asadabad,34.7824,48.1185,289.9,49,0,0.53,IR,1727232257
127,wailua homesteads,22.0669,-159.378,300.59,75,40,6.17,US,1727232257
128,san antonio de pale,-1.4014,5.6325,297.79,82,94,4.57,GQ,1727232258
129,invercargill,-46.4,168.35,288.72,50,100,4.47,NZ,1727232258
130,taoudenni,22.6783,-3.9836,305.72,34,100,4.87,ML,1727232258
131,tyukhtet,56.5389,89.3011,276.97,90,100,4.85,RU,1727232258
132,hithadhoo,-0.6,73.0833,302.0,74,63,8.19,MV,1727232258
133,dryden,49.7833,-92.7503,286.31,88,0,1.54,CA,1727232258
134,yellowknife,62.456,-114.3525,281.71,98,100,2.57,CA,1727232258
135,nemuro,43.3236,145.575,288.38,72,100,5.17,JP,1727232258
136,el espinal,16.3333,-94.0667,295.35,97,100,0.87,MX,1727232258
137,howrah,22.5892,88.3103,300.15,94,100,2.06,IN,1727232259
138,vorgashor,67.5833,63.95,273.38,83,100,11.35,RU,1727232259
139,pontian kechil,1.4866,103.3896,302.49,73,96,0.46,MY,1727232259
140,strathfieldsaye,-36.8,144.3667,287.44,78,100,3.18,AU,1727232259
141,bay harbor,30.1471,-85.6146,299.79,93,0,3.6,US,1727232259
142,kelso,46.1468,-122.9084,299.07,57,0,4.12,US,1727232259
143,st. john's,47.5649,-52.7093,284.8,93,100,5.36,CA,1727232259
144,bonares,37.3027,-6.6919,293.26,75,100,1.93,ES,1727232259
145,anna regina,7.2644,-58.5077,300.75,75,81,3.67,GY,1727232259
146,carnarvon,-24.8667,113.6333,298.39,37,0,3.73,AU,1727232083
147,arcachon,44.5875,-1.0519,288.18,100,75,3.09,FR,1727232260
148,kailua-kona,19.6406,-155.9956,302.35,77,100,2.57,US,1727232013
149,fort st. john,56.2499,-120.8529,286.09,62,75,0.0,CA,1727232177
150,angaur state,6.906,134.13,301.79,73,80,1.51,PW,1727232260
151,qaqortoq,60.7167,-46.0333,276.76,97,79,0.86,GL,1727232260
152,nizhniy kuranakh,58.8353,125.4869,287.78,55,20,2.06,RU,1727232260
153,port alfred,-33.5906,26.891,290.47,92,100,5.04,ZA,1727232260
154,pontevedra,42.431,-8.6444,292.12,92,100,1.76,ES,1727232260
155,boyalik,41.2634,28.6314,290.62,82,39,0.78,TR,1727232260
156,walvis bay,-22.9575,14.5053,288.71,64,100,2.04,NA,1727232261
157,siwa oasis,29.2041,25.5195,297.78,49,0,4.44,EG,1727232261
158,port hueneme,34.1478,-119.1951,291.78,90,100,4.63,US,1727232212
159,margaret river,-33.95,115.0667,288.06,47,36,4.28,AU,1727232261
160,gadani,25.1185,66.7299,300.33,82,98,4.84,PK,1727232261
161,daru,-9.0763,143.2092,300.02,85,47,6.49,PG,1727232261
162,northwood,40.4728,-83.7324,293.1,99,75,4.63,US,1727232261
163,queenstown,-31.8976,26.8753,284.49,88,71,1.19,ZA,1727232261
164,constantia,44.1833,28.65,288.54,79,100,1.01,RO,1727232262
165,borovskoy,53.8,64.15,277.33,67,7,2.99,KZ,1727232262
166,marmande,44.5,0.1667,287.32,97,93,2.24,FR,1727232262
167,afaahiti,-17.75,-149.2833,298.43,71,75,2.74,PF,1727232262
168,aguada de pasajeros,22.385,-80.8508,297.13,95,100,2.03,CU,1727232262
169,panuco,22.05,-98.1667,298.26,87,86,2.06,MX,1727232262
170,maragogi,-9.0122,-35.2225,296.06,81,61,4.49,BR,1727232262
171,avarua,-21.2078,-159.775,298.18,73,20,4.63,CK,1727232156
172,zaozersk,69.4005,32.4476,280.61,94,100,2.9,RU,1727232262
173,papao,-17.75,-149.55,300.97,71,73,0.53,PF,1727232262
174,ghat,24.9647,10.1728,303.3,29,4,3.6,LY,1727232263
175,bandarbeyla,9.4942,50.8122,297.81,79,85,10.54,SO,1727232263
176,los frentones,-26.4077,-61.4137,292.62,80,95,3.96,AR,1727232263
177,kurayoshi,35.4333,133.8167,299.68,66,73,1.89,JP,1727232263
178,grudki,53.0949,23.6685,286.49,81,100,3.12,PL,1727232263
179,padang,-0.9492,100.3543,302.18,84,100,0.73,ID,1727232263
180,anadyr,64.75,177.4833,282.43,57,20,4.92,RU,1727232263
181,nantucket,41.2835,-70.0995,288.79,88,20,7.13,US,1727232263
182,linxia chengguanzhen,35.6003,103.2064,289.73,61,10,1.29,CN,1727232263
183,utrik,11.2278,169.8474,301.6,74,8,2.94,MH,1727232263
184,bardai,11.65,7.2333,294.22,87,84,3.7,NG,1727232264
185,port elizabeth,-33.918,25.5701,289.99,98,75,4.12,ZA,1727232264
186,herkimer,43.0256,-74.986,289.68,72,100,4.57,US,1727232264
187,fort bragg,35.139,-79.006,299.06,89,100,3.09,US,1727232264
188,poso,-1.3959,120.7524,305.03,58,86,2.65,ID,1727232264
189,flying fish cove,-10.4217,105.6791,299.97,89,100,4.63,CX,1727232264
190,lospalos,-8.5186,127.0025,305.25,43,35,3.29,TL,1727232264
191,alofi,-19.0595,-169.9187,297.09,78,100,5.14,NU,1727232264
192,pocone,-16.2567,-56.6228,302.85,23,4,1.54,BR,1727232265
193,boyolangu,-8.1181,111.8935,303.19,61,48,4.13,ID,1727232265
194,sydney,-33.8679,151.2073,299.76,31,0,6.17,AU,1727232008
195,lebu,-37.6167,-73.65,281.09,87,48,4.19,CL,1727232265
196,hirara,24.8,125.2833,303.3,84,75,5.66,JP,1727232265
197,okha,53.5739,142.9478,286.55,64,22,3.23,RU,1727232265
198,enewetak,11.3474,162.3373,302.23,73,75,4.09,MH,1727232265
199,lexington park,38.2668,-76.4538,294.06,86,100,3.09,US,1727232036
200,tazacorte,28.629,-17.9293,294.9,68,0,4.63,ES,1727232265
201,tatarsk,55.219,75.9828,277.27,74,38,5.26,RU,1727232266
202,aykhal,66.0,111.5,278.41,81,33,7.06,RU,1727232266
203,ylitornio,66.3089,23.6773,281.67,99,100,2.09,FI,1727232266
